#DETEKTREF,INT_BEGIN,Q_KFZ,V_KFZ,Q_PKW,V_PKW,Q_LKW,V_LKW
1000008084,19:50:00,276,52,264,52,12,9
1000008084,20:00:00,180,51,174,51,6,5
1000008084,20:10:00,192,50,186,51,6,4
1000008084,20:20:00,144,47,138,47,6,5
1000008084,20:30:00,156,53,156,53,0,0
1000008084,20:40:00,198,45,192,45,6,4
1000008084,20:50:00,294,53,282,53,12,4
1000008084,21:00:00,312,52,312,52,0,0
1000008084,21:10:00,306,46,270,46,36,14
1000008084,21:20:00,396,51,396,51,0,0
1000008084,21:30:00,270,51,270,51,0,0
1000008084,21:40:00,342,47,330,47,12,8
1000008084,21:50:00,222,47,210,43,12,9
1000008084,22:00:00,222,46,222,46,0,0
1000008084,22:10:00,234,49,204,50,30,22
1000008084,22:20:00,228,48,210,49,18,12
1000008084,22:30:00,168,39,162,39,6,4
1000008084,22:40:00,210,50,192,50,18,12
1000008084,22:50:00,78,45,78,45,0,0
1000008084,23:00:00,198,49,186,49,12,5
1000008084,23:10:00,96,33,84,33,12,10
1000008084,23:20:00,48,30,36,30,12,10
1000008084,23:30:00,96,40,84,34,12,10
1000008084,23:40:00,90,42,84,43,6,4
1000008084,23:50:00,42,30,42,30,0,0
1000008314,00:00:00,114,66,108,65,6,10
1000008314,00:10:00,132,62,126,61,6,6
1000008314,00:20:00,84,65,84,65,0,0
1000008314,00:30:00,114,60,102,50,12,16
1000008314,00:40:00,66,66,60,62,6,3
1000008314,00:50:00,66,55,60,56,6,6
1000008314,01:00:00,78,53,78,53,0,0
1000008314,01:10:00,102,73,84,68,18,12
1000008314,01:20:00,54,56,54,56,0,0
1000008314,01:30:00,48,50,48,50,0,0
1000008314,01:40:00,42,39,42,39,0,0
1000008314,01:50:00,24,35,24,35,0,0
1000008314,02:00:00,78,62,66,62,12,16
1000008314,02:10:00,24,18,24,18,0,0
1000008314,02:20:00,30,32,24,22,6,10
1000008314,02:30:00,36,28,36,28,0,0
1000008314,02:40:00,36,39,36,39,0,0
1000008314,02:50:00,18,26,18,26,0,0
1000008314,03:00:00,42,44,36,44,6,8
1000008314,03:10:00,18,27,18,27,0,0
1000008314,03:20:00,0,0,0,0,0,0
1000008314,03:30:00,12,12,12,12,0,0
1000008314,03:40:00,60,44,54,36,6,8
1000008314,03:50:00,54,41,48,41,6,9
1000008314,04:00:00,48,51,42,51,6,7
1000008314,04:10:00,30,30,12,17,18,13
1000008314,04:20:00,30,35,24,27,6,8
1000008314,04:30:00,48,35,36,22,12,13
1000008314,04:40:00,54,52,42,44,12,14
1000008314,04:50:00,36,31,24,25,12,14
1000008314,05:00:00,66,40,60,41,6,7
1000008314,05:10:00,168,77,132,82,36,26
1000008314,05:20:00,156,64,138,63,18,16
1000008314,05:30:00,222,75,210,75,12,12
1000008314,05:40:00,144,77,138,73,6,4
1000008314,05:50:00,246,72,204,74,42,18
1000008314,06:00:00,216,64,180,66,36,21
1000008314,06:10:00,252,75,222,69,30,27
1000008314,06:20:00,300,67,270,67,30,30
1000008314,06:30:00,300,73,258,74,42,32
1000008314,06:40:00,324,66,282,60,42,36
1000008314,06:50:00,300,58,258,58,42,24
1000008314,07:00:00,378,48,342,48,36,27
1000008314,07:10:00,378,56,342,57,36,13
1000008314,07:20:00,414,53,402,53,12,12
1000008314,07:30:00,438,53,372,54,66,29
1000008314,07:40:00,504,54,456,55,48,30
1000008314,07:50:00,450,60,438,60,12,14
1000008314,08:00:00,474,53,384,53,90,42
1000008314,08:10:00,462,56,396,58,66,34
1000008314,08:20:00,462,56,396,56,66,38
1000008314,08:30:00,444,58,390,59,54,34
1000008314,08:40:00,456,55,390,56,66,36
1000008314,08:50:00,402,56,348,56,54,38
1000008314,09:00:00,456,62,408,64,48,34
1000008314,09:10:00,462,65,354,67,108,53
1000008314,09:20:00,396,58,330,58,66,37
1000008314,09:30:00,444,58,408,59,36,30
1000008314,09:40:00,426,58,300,60,126,50
1000008314,09:50:00,462,62,426,62,36,32
1000008314,10:00:00,408,61,336,61,72,41
1000008314,10:10:00,582,59,522,59,60,35
1000008314,10:20:00,432,58,372,59,60,42
1000008314,10:30:00,492,56,408,56,84,38
1000008314,10:40:00,474,55,372,55,102,41
1000008314,10:50:00,570,60,510,60,60,37
1000008314,11:00:00,486,59,432,58,54,24
1000008314,11:10:00,426,63,324,62,102,42
1000008314,11:20:00,492,64,390,66,102,45
1000008314,11:30:00,504,64,444,64,60,37
1000008314,11:40:00,492,56,438,56,54,29
1000008314,11:50:00,588,59,528,59,60,44
1000008314,12:00:00,450,53,396,54,54,27
1000008314,12:10:00,558,58,510,58,48,31
1000008314,12:20:00,510,55,474,54,36,24
1000008314,12:30:00,624,58,552,58,72,36
1000008314,12:40:00,690,56,588,57,102,45
1000008314,12:50:00,510,59,462,59,48,38
1000008314,13:00:00,648,57,570,57,78,41
1000008314,13:10:00,642,54,588,55,54,30
1000008314,13:20:00,630,58,552,57,78,44
1000008314,13:30:00,546,60,468,62,78,36
1000008314,13:40:00,630,57,564,58,66,39
1000008314,13:50:00,576,57,516,57,60,48
1000008314,14:00:00,540,60,492,60,48,30
1000008314,14:10:00,594,57,534,58,60,27
1000008314,14:20:00,696,57,612,58,84,46
1000008314,14:30:00,606,54,570,54,36,27
1000008314,14:40:00,594,60,552,60,42,26
1000008314,14:50:00,612,60,558,60,54,44
1000008314,15:00:00,648,60,600,60,48,41
1000008314,15:10:00,660,62,594,62,66,42
1000008314,15:20:00,666,64,618,64,48,35
1000008314,15:30:00,714,64,636,64,78,43
1000008314,15:40:00,702,55,612,56,90,36
1000008314,15:50:00,816,57,750,57,66,45
1000008314,16:00:00,696,60,654,60,42,40
1000008314,16:10:00,786,59,732,59,54,46
1000008314,16:20:00,732,58,672,58,60,45
1000008314,16:30:00,780,63,726,63,54,26
1000008314,16:40:00,834,61,786,61,48,33
1000008314,16:50:00,834,54,792,54,42,27
1000008314,17:00:00,786,57,744,58,42,28
1000008314,17:10:00,864,57,798,57,66,41
1000008314,17:20:00,828,59,786,59,42,30
1000008314,17:30:00,840,60,816,60,24,25
1000008314,17:40:00,726,65,690,65,36,29
1000008314,17:50:00,816,61,786,61,30,30
1000008314,18:00:00,840,59,822,58,18,18
1000008314,18:10:00,822,64,792,64,30,26
1000008314,18:20:00,696,57,678,57,18,18
1000008314,18:30:00,648,60,612,60,36,28
1000008314,18:40:00,642,58,612,58,30,24
1000008314,18:50:00,642,62,606,62,36,17
1000008314,19:00:00,666,61,636,61,30,25
1000008314,19:10:00,516,59,498,59,18,20
1000008314,19:20:00,516,64,480,64,36,25
1000008314,19:30:00,528,64,492,64,36,30
1000008314,19:40:00,468,60,438,61,30,15
1000008314,19:50:00,492,63,486,63,6,8
1000008314,20:00:00,480,62,462,62,18,12
1000008314,20:10:00,486,71,474,72,12,13
1000008314,20:20:00,378,60,372,60,6,4
1000008314,20:30:00,480,62,468,62,12,13
1000008314,20:40:00,480,64,468,64,12,14
1000008314,20:50:00,366,65,360,65,6,6
1000008314,21:00:00,360,67,342,68,18,15
1000008314,21:10:00,360,57,336,57,24,25
1000008314,21:20:00,384,62,360,63,24,23
1000008314,21:30:00,360,59,348,59,12,10
1000008314,21:40:00,372,71,372,71,0,0
1000008314,21:50:00,312,63,306,63,6,7
1000008314,22:00:00,318,58,306,58,12,8
1000008314,22:10:00,366,68,348,68,18,20
1000008314,22:20:00,264,73,246,74,18,22
1000008314,22:30:00,312,65,294,65,18,18
1000008314,22:40:00,318,56,306,56,12,10
1000008314,22:50:00,300,69,282,69,18,23
1000008314,23:00:00,270,59,264,59,6,6
1000008314,23:10:00,228,66,228,66,0,0
1000008314,23:20:00,252,72,252,72,0,0
1000008314,23:30:00,144,70,132,71,12,7
1000008314,23:40:00,192,67,186,66,6,8
1000008314,23:50:00,198,66,198,66,0,0
1000008316,00:00:00,60,33,60,33,0,0
1000008316,00:10:00,54,41,54,41,0,0
1000008316,00:20:00,18,24,18,24,0,0
1000008316,00:30:00,18,24,18,24,0,0
1000008316,00:40:00,18,25,18,25,0,0
