cp_norm,NOx,HC,CO,PM,PN,NO
c[-],[g/h],[g/h],[g/h],[g/h],[g/h],[g/h]
-1.5,0.417147201086957,0.0645064963043478,29.2034766521739,0.155686922052174,97522040130434.8,0.396289856956522
-1.25,0.29735215,0.06480991,16.225635,0.08414246,55221095000000,0.28248455
-1,0.177557098913043,0.0651133236956522,3.24779334782609,0.0125979979478261,12920149869565.2,0.168679243043478
-0.75,0.264582355142857,0.0929334152,3.39790699714286,0.00545985420857143,12449012714285.7,0.251353241428571
-0.5,0.545208852083333,0.117782875,4.60118320833333,0.0126939037104167,17190460312500,0.51794840625
-0.25,0.75082243960396,0.157157343960396,6.68652824752475,0.00764910602772278,14286701891089.1,0.713281310891089
0,0.787291116292136,0.113938778539326,5.47379498876404,0.00879202750000001,10780823101123.6,0.747926544382022
0.25,1.88337654293194,0.168068014188482,8.46711441884817,0.0132060630198953,19823012910994.8,1.78920774712042
0.5,2.55442566502463,0.222892233300492,9.98367549753694,0.0224553255062562,27772851477832.5,2.42670438423645
0.75,3.65235048502994,0.37527371257485,18.2429452275449,0.0843717114251497,55860961137724.6,3.46973294011976
1,5.65022853543307,0.640153907874016,36.138719023622,0.177120208188976,89099302834645.7,5.36771718897638
1.25,8.48614546938776,1.18482094285714,90.362963877551,0.322148489081633,126974279795918,8.061838
1.5,12.3556295714286,1.58226727321429,121.306685178571,0.466455101428571,211330917857143,11.7378482678571
1.75,14.1961070588235,2.47005558235294,217.172671764706,0.667177129411765,303406852941177,13.4863023529412
2,16.0733127272727,2.82210063636364,245.9378,1.05268718181818,550091272727273,15.2696490909091
2.25,19.1372153846154,3.20946238461538,336.717876923077,1.54523869230769,866250869230769,18.1803538461538
2.5,19.82232,4.92618177777778,609.705488888889,3.27712422222222,1.19567433333333E+15,18.8312033333333
2.75,24.54561,6.9752126,1123.93826,4.083524,1.2627762E+15,23.318332
3,25.41823,8.54181533333333,1560.80633333333,3.74934733333333,1.414682E+15,24.14732
3.25,28.8579633333333,10.4300367925926,2049.25087185185,4.17555496296296,1.51005184444444E+15,27.4150684444444
3.5,31.6559183333333,12.2378535703704,2524.80129407407,4.41166651851852,1.61955567777778E+15,30.0731267777778
3.75,34.4538733333333,14.0456703481482,3000.3517162963,4.64777807407407,1.72905951111111E+15,32.7311851111111
4,37.2518283333333,15.8534871259259,3475.90213851852,4.88388962962963,1.83856334444444E+15,35.3892434444444
4.25,40.0497833333333,17.6613039037037,3951.45256074074,5.12000118518518,1.94806717777778E+15,38.0473017777778
4.5,42.8477383333333,19.4691206814815,4427.00298296296,5.35611274074074,2.05757101111111E+15,40.7053601111111
4.75,45.6456933333333,21.2769374592593,4902.55340518518,5.5922242962963,2.16707484444444E+15,43.3634184444444
5,48.4436483333333,23.084754237037,5378.10382740741,5.82833585185185,2.27657867777778E+15,46.0214767777778
5.25,51.2416033333333,24.8925710148148,5853.65424962963,6.06444740740741,2.38608251111111E+15,48.6795351111111
5.5,54.0395583333333,26.7003877925926,6329.20467185185,6.30055896296296,2.49558634444445E+15,51.3375934444444
5.75,56.8375133333333,28.5082045703704,6804.75509407407,6.53667051851852,2.60509017777778E+15,53.9956517777778
6,59.6354683333333,30.3160213481482,7280.3055162963,6.77278207407407,2.71459401111111E+15,56.6537101111111
